id,cuisine
18009,
28583,italian
41580,southern_us
29752,italian
35687,italian
38527,
19666,italian
41217,
28753,
22659,thai
21749,southern_us
44967,italian
42969,
44883,
20827,mexican
23196,mexican
35387,
33780,
19001,italian
16526,italian
42455,
47453,
42478,
11885,mexican
16585,
29639,italian
26245,
38516,
47520,southern_us
26212,italian
23696,
14926,italian
13292,
27346,italian
1384,
15959,
42297,
46235,mexican
21181,
9809,italian
22982,southern_us
23120,
26743,southern_us
12741,mexican
7050,
22437,
14760,italian
10649,
48065,
39931,italian
32935,italian
40142,
19103,italian
38267,
30512,mexican
3324,italian
26197,
384,
47230,
39748,
41038,mexican
24878,
42624,italian
45706,italian
8874,
23878,
47234,italian
24075,mexican
46323,italian
22562,
11358,
9201,mexican
38620,mexican
47638,mexican
21238,
11053,italian
46602,
13937,italian
21876,mexican
20798,italian
24381,italian
48178,southern_us
45832,
27560,mexican
23247,italian
28975,italian
43230,
9126,mexican
13021,
28194,
25617,mexican
36125,italian
16454,mexican
1607,italian
38526,
18755,french
12035,
16047,
15419,italian
16971,
31459,
27888,
13900,italian
12376,
1658,
29431,
22290,
28464,southern_us
37953,italian
20814,italian
35987,italian
2329,southern_us
43237,
30647,mexican
16675,southern_us
37722,
32438,mexican
20287,italian
43296,italian
6237,
48560,
20810,mexican
34951,italian
31850,italian
47745,mexican
37815,italian
9872,
5592,mexican
27411,mexican
39320,southern_us
40247,
19792,italian
40754,italian
14365,italian
14468,
47563,
19611,southern_us
7163,italian
43069,southern_us
27505,
36500,
25932,
817,italian
8471,italian
48250,
9413,italian
12097,
8416,southern_us
5892,
676,
47015,
21891,
14630,
36195,
25981,
39964,
28298,mexican
31954,cajun_creole
26620,mexican
14932,
47426,moroccan
1038,
8077,
37141,
45447,italian
9624,
45589,thai
7265,
31844,
13046,mexican
9867,italian
29184,
34783,italian
2823,mexican
18932,italian
11112,mexican
12859,
9365,italian
44516,italian
18193,
46545,mexican
9900,
14815,mexican
39690,southern_us
22193,
11739,italian
27311,mexican
36920,italian
